"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"CONCHAS";"63479";"3512308";"3976";"28,90";"666";"6,81";"600";"6,13"
"SP";"CORDEIRÓPOLIS";"63495";"3512407";"4081";"20,58";"1219";"7,74";"1044";"6,63"
"SP";"COROADOS";"63517";"3512506";"844";"20,19";"198";"5,94";"139";"4,16"
"SP";"CORONEL MACEDO";"63533";"3512605";"690";"18,01";"171";"5,44";"169";"5,38"
"SP";"CORUMBATAÍ";"63550";"3512704";"758";"21,56";"228";"8,27";"171";"6,20"
"SP";"COSMORAMA";"63592";"3512902";"1544";"21,66";"295";"5,28";"239";"4,28"
"SP";"COSMÓPOLIS";"63576";"3512803";"10581";"22,79";"3270";"9,12";"2796";"7,81"
"SP";"COTIA";"63614";"3513009";"35610";"19,26";"11347";"7,60";"10700";"7,17"
"SP";"CRAVINHOS";"63630";"3513108";"6633";"24,29";"1652";"7,99";"1339";"6,47"
"SP";"CRISTAIS PAULISTA";"63657";"3513207";"1678";"22,51";"355";"6,15";"328";"5,68"
"SP";"CRUZEIRO";"63690";"3513405";"13767";"22,87";"3872";"8,34";"2802";"6,03"
"SP";"CRUZÁLIA";"63673";"3513306";"353";"17,54";"59";"3,55";"39";"2,35"
"SP";"CUBATÃO";"63711";"3513504";"19866";"21,08";"4828";"6,49";"4123";"5,55"
"SP";"CUNHA";"63738";"3513603";"3367";"19,33";"944";"6,72";"851";"6,05"
"SP";"CÁSSIA DOS COQUEIROS";"63193";"3510906";"769";"27,34";"188";"9,20";"102";"4,99"
"SP";"CÂNDIDO MOTA";"63010";"3510005";"6050";"24,50";"1298";"6,96";"1294";"6,94"
"SP";"CÂNDIDO RODRIGUES";"63037";"3510104";"568";"22,08";"130";"6,48";"126";"6,29"
"SP";"DESCALVADO";"63754";"3513702";"5791";"22,98";"2142";"11,04";"1738";"8,95"
"SP";"DIADEMA";"63770";"3513801";"67023";"19,78";"24403";"8,98";"17906";"6,58"
"SP";"DIRCE REIS";"61123";"3513850";"329";"20,23";"59";"4,55";"40";"3,08"
"SP";"DIVINOLÂNDIA";"63797";"3513900";"1770";"18,59";"914";"11,79";"603";"7,78"
"SP";"DOBRADA";"63819";"3514007";"1365";"20,88";"396";"7,66";"384";"7,42"
"SP";"DOIS CÓRREGOS";"63835";"3514106";"5507";"27,60";"971";"6,72";"995";"6,89"
"SP";"DOLCINÓPOLIS";"63851";"3514205";"444";"20,35";"100";"5,75";"80";"4,61"
"SP";"DOURADO";"63878";"3514304";"1751";"23,94";"591";"10,62";"549";"9,87"
"SP";"DRACENA";"63894";"3514403";"8742";"24,77";"1386";"5,22";"1258";"4,74"
"SP";"DUARTINA";"63916";"3514502";"2600";"24,75";"488";"6,17";"375";"4,75"
"SP";"DUMONT";"63932";"3514601";"1393";"19,50";"495";"8,61";"432";"7,51"
"SP";"ECHAPORÃ";"63959";"3514700";"1267";"23,96";"259";"6,44";"214";"5,32"
"SP";"ELDORADO";"63975";"3514809";"3559";"30,21";"431";"5,24";"317";"3,86"
"SP";"ELIAS FAUSTO";"63991";"3514908";"2990";"21,23";"1066";"9,61";"894";"8,06"
"SP";"ELISIÁRIO";"61760";"3514924";"506";"18,56";"157";"7,07";"124";"5,59"
"SP";"EMBAÚBA";"61182";"3514957";"469";"19,75";"94";"4,93";"76";"3,99"
"SP";"EMBU DAS ARTES";"64017";"3515004";"34903";"17,50";"14403";"8,75";"12921";"7,85"
"SP";"EMBU-GUAÇU";"64033";"3515103";"14329";"25,43";"3840";"9,14";"2924";"6,96"
"SP";"EMILIANÓPOLIS";"61387";"3515129";"581";"21,32";"86";"4,01";"106";"4,95"
"SP";"ENGENHEIRO COELHO";"61689";"3515152";"3392";"22,72";"673";"5,83";"622";"5,40"
"SP";"ESPÍRITO SANTO DO PINHAL";"68659";"3515186";"8812";"26,11";"1864";"7,47";"1779";"7,14"
"SP";"ESPÍRITO SANTO DO TURVO";"61140";"3515194";"883";"25,01";"156";"5,89";"135";"5,10"
"SP";"ESTIVA GERBI";"61662";"3557303";"1827";"19,36";"585";"7,69";"468";"6,15"
"SP";"ESTRELA D&apos;OESTE";"64050";"3515202";"1762";"24,12";"416";"7,51";"368";"6,64"
"SP";"ESTRELA DO NORTE";"64076";"3515301";"553";"21,58";"105";"5,22";"70";"3,49"
"SP";"EUCLIDES DA CUNHA PAULISTA";"61000";"3515350";"2310";"32,47";"225";"4,68";"131";"2,73"
"SP";"FARTURA";"64092";"3515400";"3265";"24,66";"591";"5,93";"540";"5,41"
"SP";"FERNANDO PRESTES";"64130";"3515608";"1115";"21,90";"270";"6,79";"287";"7,22"
"SP";"FERNANDÓPOLIS";"64114";"3515509";"14272";"26,32";"2394";"5,99";"2442";"6,11"
"SP";"FERNÃO";"62286";"3515657";"384";"24,21";"87";"7,24";"64";"5,32"
"SP";"FERRAZ DE VASCONCELOS";"64157";"3515707";"26868";"20,10";"10042";"9,40";"8231";"7,71"
"SP";"FLORA RICA";"64173";"3515806";"437";"27,62";"46";"4,02";"57";"4,98"
"SP";"FLOREAL";"64190";"3515905";"519";"19,53";"125";"5,84";"100";"4,68"
"SP";"FLORÍNEA";"64238";"3516101";"574";"21,23";"138";"6,48";"86";"4,04"
"SP";"FLÓRIDA PAULISTA";"64211";"3516002";"1904";"23,61";"394";"6,40";"392";"6,36"
"SP";"FRANCA";"64254";"3516200";"52855";"21,37";"12604";"6,48";"11760";"6,05"
"SP";"FRANCISCO MORATO";"64270";"3516309";"29604";"22,57";"8930";"8,79";"8110";"7,99"
"SP";"FRANCO DA ROCHA";"64297";"3516408";"22399";"21,34";"8031";"9,73";"6186";"7,49"
"SP";"GABRIEL MONTEIRO";"64319";"3516507";"457";"17,91";"135";"6,44";"83";"3,97"
"SP";"GARÇA";"64351";"3516705";"8996";"25,36";"1985";"7,50";"2030";"7,66"
"SP";"GASTÃO VIDIGAL";"64378";"3516804";"537";"18,76";"118";"5,07";"118";"5,08"
