"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"JOANÓPOLIS";"66117";"3525508";"2193";"22,02";"299";"3,85";"184";"2,37"
"SP";"JOSÉ BONIFÁCIO";"66150";"3525706";"6717";"23,69";"509";"2,35";"462";"2,14"
"SP";"JOÃO RAMALHO";"66133";"3525607";"705";"20,51";"95";"3,48";"58";"2,12"
"SP";"JUMIRIM";"62324";"3525854";"559";"22,97";"51";"2,72";"34";"1,81"
"SP";"JUNDIAÍ";"66192";"3525904";"64026";"19,30";"10319";"3,85";"5055";"1,89"
"SP";"JUNQUEIRÓPOLIS";"66214";"3526001";"3075";"22,14";"364";"3,37";"216";"1,99"
"SP";"JUQUITIBA";"66257";"3526209";"5745";"24,04";"572";"3,15";"368";"2,03"
"SP";"JUQUIÁ";"66230";"3526100";"5724";"33,46";"307";"2,70";"206";"1,81"
"SP";"JÚLIO MESQUITA";"66176";"3525805";"776";"20,47";"75";"2,49";"64";"2,12"
"SP";"LAGOINHA";"66273";"3526308";"1080";"20,40";"127";"3,01";"99";"2,35"
"SP";"LARANJAL PAULISTA";"66290";"3526407";"5442";"24,66";"461";"2,77";"380";"2,29"
"SP";"LAVRINHAS";"66338";"3526605";"1222";"19,45";"170";"3,36";"92";"1,82"
"SP";"LAVÍNIA";"66311";"3526506";"896";"22,66";"96";"3,14";"70";"2,29"
"SP";"LEME";"66354";"3526704";"16880";"22,31";"2336";"3,97";"1511";"2,58"
"SP";"LENÇÓIS PAULISTA";"66370";"3526803";"10603";"20,65";"1266";"3,11";"956";"2,34"
"SP";"LIMEIRA";"66397";"3526902";"47826";"20,74";"5640";"3,09";"3414";"1,86"
"SP";"LINDÓIA";"66419";"3527009";"1239";"20,96";"155";"3,32";"60";"1,28"
"SP";"LINS";"66435";"3527108";"14999";"25,88";"1270";"2,96";"904";"2,10"
"SP";"LORENA";"66451";"3527207";"14664";"22,57";"1235";"2,45";"1041";"2,07"
"SP";"LOURDES";"62022";"3527256";"480";"24,57";"32";"2,17";"22";"1,49"
"SP";"LOUVEIRA";"66478";"3527306";"6600";"17,71";"835";"2,72";"571";"1,86"
"SP";"LUCIANÓPOLIS";"66516";"3527504";"433";"20,37";"34";"2,01";"36";"2,12"
"SP";"LUCÉLIA";"66494";"3527405";"3115";"22,99";"294";"2,82";"207";"1,98"
"SP";"LUIZIÂNIA";"66559";"3527702";"888";"22,66";"81";"2,67";"43";"1,42"
"SP";"LUPÉRCIO";"66575";"3527801";"793";"22,87";"55";"2,06";"50";"1,87"
"SP";"LUTÉCIA";"66591";"3527900";"527";"21,47";"39";"2,02";"30";"1,56"
"SP";"LUÍS ANTÔNIO";"66532";"3527603";"2506";"24,56";"283";"3,68";"150";"1,95"
"SP";"MACATUBA";"66613";"3528007";"2685";"20,24";"278";"2,63";"314";"2,96"
"SP";"MACAUBAL";"66630";"3528106";"1271";"20,64";"126";"2,58";"133";"2,72"
"SP";"MACEDÔNIA";"66656";"3528205";"758";"21,05";"86";"3,02";"62";"2,19"
"SP";"MAGDA";"66672";"3528304";"477";"17,94";"54";"2,47";"17";"0,78"
"SP";"MAIRINQUE";"66699";"3528403";"8977";"22,32";"1199";"3,84";"872";"2,79"
"SP";"MAIRIPORÃ";"66710";"3528502";"14214";"21,61";"1841";"3,57";"1063";"2,06"
"SP";"MANDURI";"66737";"3528601";"1686";"22,65";"190";"3,30";"148";"2,57"
"SP";"MARABÁ PAULISTA";"66753";"3528700";"774";"24,99";"66";"2,84";"25";"1,08"
"SP";"MARACAÍ";"66770";"3528809";"2299";"21,06";"184";"2,14";"144";"1,67"
"SP";"MARAPOAMA";"61867";"3528858";"604";"21,81";"52";"2,40";"29";"1,34"
"SP";"MARINÓPOLIS";"66834";"3529104";"371";"20,63";"38";"2,66";"23";"1,61"
"SP";"MARIÁPOLIS";"66796";"3528908";"654";"21,37";"55";"2,29";"65";"2,70"
"SP";"MARTINÓPOLIS";"66850";"3529203";"3519";"19,64";"327";"2,27";"226";"1,57"
"SP";"MARÍLIA";"66818";"3529005";"42273";"23,23";"4364";"3,12";"2999";"2,15"
"SP";"MATÃO";"66877";"3529302";"13976";"21,11";"2004";"3,84";"1235";"2,36"
"SP";"MAUÁ";"66893";"3529401";"61757";"19,55";"11768";"4,63";"5314";"2,09"
"SP";"MENDONÇA";"66915";"3529500";"1139";"22,59";"107";"2,74";"51";"1,31"
"SP";"MERIDIANO";"66931";"3529609";"678";"18,61";"88";"2,97";"57";"1,92"
"SP";"MESÓPOLIS";"61964";"3529658";"395";"22,17";"23";"1,66";"17";"1,22"
"SP";"MIGUELÓPOLIS";"66958";"3529708";"3074";"20,84";"267";"2,29";"159";"1,36"
"SP";"MINEIROS DO TIETÊ";"66974";"3529807";"2154";"23,04";"225";"3,13";"259";"3,60"
"SP";"MIRA ESTRELA";"67016";"3530003";"676";"24,54";"64";"3,08";"29";"1,39"
"SP";"MIRACATU";"66990";"3529906";"5266";"31,48";"317";"2,77";"158";"1,37"
"SP";"MIRANDÓPOLIS";"67032";"3530102";"5667";"28,34";"458";"3,20";"294";"2,05"
"SP";"MIRANTE DO PARANAPANEMA";"67059";"3530201";"3309";"25,02";"179";"1,80";"128";"1,30"
"SP";"MIRASSOL";"67075";"3530300";"10058";"22,31";"1024";"2,92";"669";"1,91"
"SP";"MIRASSOLÂNDIA";"67091";"3530409";"845";"20,69";"83";"2,56";"60";"1,85"
"SP";"MOCOCA";"67113";"3530508";"14603";"27,39";"1558";"4,02";"1145";"2,96"
"SP";"MOGI DAS CRUZES";"67130";"3530607";"69806";"20,95";"9761";"3,71";"6642";"2,52"
"SP";"MOGI GUAÇU";"67156";"3530706";"26022";"21,65";"3545";"3,77";"2140";"2,27"
"SP";"MOGI MIRIM";"67172";"3530805";"15819";"22,22";"2078";"3,75";"1481";"2,68"
"SP";"MOMBUCA";"67199";"3530904";"681";"20,98";"74";"2,88";"58";"2,27"
"SP";"MONGAGUÁ";"67237";"3531100";"14551";"29,20";"1124";"3,19";"638";"1,80"
